Frame_Time_Budget_s,Frame_Energy_Budget_j
9.662430189971902,4.200356830908523
9.657735550862455,4.19944655421956
9.653248013799388,4.198561865238177
9.648195860401895,4.197552625189179
9.64332297097067,4.196564037450652
9.638674439415949,4.195607773418242
9.633453943687725,4.194523387429465
9.628697093278412,4.193521471336161
9.623375620205872,4.192391578460929
9.61825980855182,4.191292369833915
9.613387160657567,4.190234970630285
9.607934084475762,4.189044040729437
9.602696613374036,4.187889133328799
9.597725664348053,4.186784451981188
9.592163122820256,4.185541322524999
9.58712479155428,4.185398500347975
9.581498745006693,4.1847411091674855
9.576417009937764,4.183601133722134
9.57073912845838,4.1823078912073495
9.565319426815169,4.181067725172167
9.56020169468946,4.179894049651113
9.554468122929691,4.1785698549232855
9.549309601036942,4.177377158870091
9.543559794990177,4.176042053400453
9.538383506273604,4.174837889496184
9.532628541826911,4.173496354367963
9.527445574561188,4.172285464859937
9.521694311228933,4.170941287707011
9.516514512961622,4.169727922113074
9.510776662025792,4.168385311115408
9.50561195466463,4.16717467533741
9.499897474971869,4.1658380030960585
9.494757809222886,4.1646344898167
9.489074918741354,4.163307416675251
9.483970967066826,4.162115781216018
9.478328821679945,4.160802431843071
9.473272103668549,4.159627853280621
9.467680147956804,4.158332538216562
9.462680218521296,4.157179387115708
9.457145849300765,4.155905571966775
9.452213101150134,4.154778635235681
9.446746752080093,4.153531178375433
9.441878312341258,4.152429471315678
9.436499969745999,4.1512174910552115
9.431705143689122,4.150145430353181
9.42669868538847,4.149033144873269
9.421455072202297,4.147879370688045
9.416789890162852,4.146860962211176
9.411668573274525,4.145755781883138
9.407101058278231,4.144778639023224
9.402352152696574,4.14377522440837
9.397394942392225,4.142742643862394
9.392993820106987,4.1418371757659
9.388173007205102,4.140861374582476
9.383893888468142,4.140009333854657
9.379456998449582,4.139141746064356
9.374823515082516,4.138251507492206
9.37074680383621,4.137489456862543
9.366266142252462,4.136664987798661
9.362318720100784,4.135961367553704
9.35822965060222,4.135249423889599
9.353981413915129,4.134534380405595
9.350243569335248,4.133926989856283
9.346388032915048,4.1333229145736805
9.342397677232402,4.132726949258242
9.338887541680645,4.132225808591268
9.335281634245403,4.131738817751943
9.331559498729728,4.1312692091009975
9.328295491219002,4.130884838879085
9.324952697768312,4.130523282377124
